abjecções;abjeções
adjectivá-lo-ão;adjetivá-lo-ão
adjectivá-lo-ás;adjetivá-lo-ás
adjectivá-los;adjetivá-los
adjectivámos;adjetivámos
adjectivo;adjetivo
adjectivos;adjetivos
adjectivou;adjetivou
adjectiváramos;adjetiváramos
adjectiváreis;adjetiváreis
adjectivásseis;adjetivásseis
adjectivássemos;adjetivássemos
adjectivávamos;adjetivávamos
adjectiváveis;adjetiváveis
adopções;adoções
adopção;adoção
adopta;adota
adoptada;adotada
adoptadas;adotadas
adoptado;adotado
adoptados;adotados
adoptai;adotai
adoptais;adotais
adoptam;adotam
adoptamos;adotamos
adoptando;adotando
adoptante;adotante
adoptantes;adotantes
adoptara;adotara
adoptará;adotará
adoptar;adotar
adoptaram;adotaram
adoptaríamos;adotaríamos
adoptaras;adotaras
adoptardes;adotardes
adoptarei;adotarei
adoptaríeis;adotaríeis
adoptareis;adotareis
adoptarem;adotarem
adoptaremos;adotaremos
adoptares;adotares
adoptaria;adotaria
adoptariam;adotariam
adoptarias;adotarias
adoptar-lha;adotar-lha
adoptar-lhas;adotar-lhas
adoptar-lhe;adotar-lhe
adoptar-lhes;adotar-lhes
adoptar-lho;adotar-lho
adoptar-lhos;adotar-lhos
adoptar-me;adotar-me
adoptar-me-ei;adotar-me-ei
adoptar-me-ia;adotar-me-ia
adoptarmos;adotarmos
adoptar-nos;adotar-nos
adoptar-nos-íamos;adotar-nos-íamos
adoptar-nos-emos;adotar-nos-emos
adoptarão;adotarão
adoptarás;adotarás
adoptar-se-á;adotar-se-á
adoptar-se;adotar-se
adoptar-se-ia;adotar-se-ia
adoptar-se-iam;adotar-se-iam
adoptar-se-ão;adotar-se-ão
adoptar-te-á;adotar-te-á
adoptar-te;adotar-te
adoptar-te-ei;adotar-te-ei
adoptar-te-ias;adotar-te-ias
adoptar-te-ás;adotar-te-ás
adoptar-vos;adotar-vos
adoptar-vos-íeis;adotar-vos-íeis
adoptar-vos-eis;adotar-vos-eis
adoptas;adotas
adoptasse;adotasse
adoptassem;adotassem
adoptasses;adotasses
adoptaste;adotaste
adoptastes;adotastes
adoptava;adotava
adoptavam;adotavam
adoptavas;adotavas
adopte;adote
adoptei;adotei
adopteis;adoteis
adoptem;adotem
adoptemos;adotemos
adoptes;adotes
adoptiva;adotiva
adoptivas;adotivas
adoptivo;adotivo
adoptivos;adotivos
adoptá-la;adotá-la
adoptá-las;adotá-las
adoptá-lo-á;adotá-lo-á
adoptá-lo;adotá-lo
adoptá-lo-íamos;adotá-lo-íamos
adoptá-lo-ei;adotá-lo-ei
adoptá-lo-íeis;adotá-lo-íeis
adoptá-lo-eis;adotá-lo-eis
adoptá-lo-emos;adotá-lo-emos
adoptá-lo-ia;adotá-lo-ia
adoptá-lo-iam;adotá-lo-iam
adoptá-lo-ias;adotá-lo-ias
adoptá-lo-ão;adotá-lo-ão
adoptá-lo-ás;adotá-lo-ás
adoptá-los;adotá-los
adoptámos;adotámos
adopto;adoto
adoptou;adotou
adoptáramos;adotáramos
adoptáreis;adotáreis
adoptásseis;adotásseis
adoptássemos;adotássemos
adoptávamos;adotávamos
adoptáveis;adotáveis
afecções;afeções
afecção;afeção
afecta;afeta
afectada;afetada
afectadamente;afetadamente
afectadas;afetadas
afectado;afetado
afectados;afetados
afectações;afetações
afectai;afetai
afectais;afetais
afectam;afetam
afectamos;afetamos
afectando;afetando
afectante;afetante
afectantes;afetantes
afectação;afetação
afectara;afetara
afectará;afetará
afectar;afetar
afectaram;afetaram
afectaríamos;afetaríamos
afectaras;afetaras
afectardes;afetardes
afectarei;afetarei
afectaríeis;afetaríeis
afectareis;afetareis
afectarem;afetarem
afectaremos;afetaremos
afectares;afetares
afectaria;afetaria
afectariam;afetariam
afectarias;afetarias
afectar-lha;afetar-lha
afectar-lhas;afetar-lhas
afectar-lhe;afetar-lhe
afectar-lhes;afetar-lhes
afectar-lho;afetar-lho
afectar-lhos;afetar-lhos
afectar-me;afetar-me
afectar-me-ei;afetar-me-ei
afectar-me-ia;afetar-me-ia
afectarmos;afetarmos
afectar-nos;afetar-nos
afectar-nos-íamos;afetar-nos-íamos
afectar-nos-emos;afetar-nos-emos
afectarão;afetarão
afectarás;afetarás
afectar-se-á;afetar-se-á
afectar-se;afetar-se
afectar-se-ia;afetar-se-ia
afectar-se-iam;afetar-se-iam
afectar-se-ão;afetar-se-ão
afectar-te-á;afetar-te-á
afectar-te;afetar-te
afectar-te-ei;afetar-te-ei
afectar-te-ias;afetar-te-ias
afectar-te-ás;afetar-te-ás
afectar-vos;afetar-vos
afectar-vos-íeis;afetar-vos-íeis
afectar-vos-eis;afetar-vos-eis
afectas;afetas
afectasse;afetasse
afectassem;afetassem
afectasses;afetasses
afectaste;afetaste
afectastes;afetastes
afectava;afetava
afectavam;afetavam
afectavas;afetavas
afecte;afete
afectei;afetei
afecteis;afeteis
afectem;afetem
afectemos;afetemos
afectes;afetes
afectiva;afetiva
afectivamente;afetivamente
afectivas;afetivas
afectividade;afetividade
afectividades;afetividades
afectivo;afetivo
afectivos;afetivos
afectá-la;afetá-la
afectá-las;afetá-las
afectá-lo-á;afetá-lo-á
afectá-lo;afetá-lo
afectá-lo-íamos;afetá-lo-íamos
afectá-lo-ei;afetá-lo-ei
afectá-lo-íeis;afetá-lo-íeis
afectá-lo-eis;afetá-lo-eis
afectá-lo-emos;afetá-lo-emos
afectá-lo-ia;afetá-lo-ia
afectá-lo-iam;afetá-lo-iam
afectá-lo-ias;afetá-lo-ias
afectá-lo-ão;afetá-lo-ão
afectá-lo-ás;afetá-lo-ás
afectá-los;afetá-los
afectámos;afetámos
afecto;afeto
afectos;afetos
afectou;afetou
afectáramos;afetáramos
afectáreis;afetáreis
afectásseis;afetásseis
afectássemos;afetássemos
afectuosa;afetuosa
afectuosamente;afetuosamente
afectuosas;afetuosas
afectuosidade;afetuosidade
afectuosidades;afetuosidades
afectuoso;afetuoso
afectávamos;afetávamos
afectáveis;afetáveis
alcateia;alcateia
alcateias;alcateias
ambiguidade;ambiguidade
ambiguidades;ambiguidades
amilóide;amiloide
andróide;androide
andróides;androides
anguiforme;anguiforme
anguiformes;anguiformes
anoréctica;anorética
anorécticas;anoréticas
anoréctico;anorético
anorécticos;anoréticos
anteacto;anteato
anteprojecto;anteprojeto
anteprojectos;anteprojetos
antestreia;antestreia
anticoncepcionais;anticoncecionais
anticoncepcional;anticoncecional
anticonceptivo;anticoncetivo
anticéptica;anticética
anticépticas;anticéticas
anticéptico;anticético
anticépticos;anticéticos
antidiarreico;antidiarreico
antiguidade;antiguidade
antiguidades;antiguidades
anti-infeccioso;anti-infecioso
anti-inflamatório;anti-inflamatório
anti-inflamatórios;anti-inflamatórios
anti-racional;antirracional
anti-raquítico;antirraquítico
anti-realismo;antirrealismo
anti-rugas;antirrugas
anti-séptica;antissético
anti-sépticas;antissético
anti-séptico;antissético
anti-sépticos;antissético
antárctica;antártica
antárcticas;antárticas
antárctico;antártico
antárcticos;antárticos
antropóide;antropoide
antropóides;antropoides
açoteia;açoteia
aperceptibilidade;apercetibilidade
aperceptibilidades;apercetibilidades
aperceptivo;apercetivo
aperceptível;apercetível
apocalíptica;apocalítico
apocalípticas;apocalítico
apocalíptico;apocalítico
apocalípticos;apocalítico
apodíctica;apodítica
apodícticas;apodíticas
apodíctico;apodítico
aquífero;aquífero
aquíferos;aquíferos
aracnóide;aracnoide
areia;areia
areias;areias
argilóide;argiloide
arguente;arguente
arguentes;arguentes
arguitivo;arguitivo
arquitecta;arquiteta
arquitectada;arquitetada
arquitectadas;arquitetadas
arquitectado;arquitetado
arquitectados;arquitetados
arquitectações;arquitetações
arquitectai;arquitetai
arquitectais;arquitetais
arquitectam;arquitetam
arquitectamos;arquitetamos
arquitectando;arquitetando
arquitectação;arquitetação
arquitectara;arquitetara
arquitectaram;arquitetaram
arquitectaríamos;arquitetaríamos
arquitectará;arquitetará
arquitectar;arquitetar
arquitectaras;arquitetaras
arquitectardes;arquitetardes
arquitectarei;arquitetarei
arquitectaríeis;arquitetaríeis
arquitectareis;arquitetareis
arquitectarem;arquitetarem
arquitectaremos;arquitetaremos
arquitectares;arquitetares
arquitectaria;arquitetaria
arquitectariam;arquitetariam
arquitectarias;arquitetarias
arquitectar-lha;arquitetar-lha
arquitectar-lhas;arquitetar-lhas
arquitectar-lhe;arquitetar-lhe
arquitectar-lhes;arquitetar-lhes
arquitectar-lho;arquitetar-lho
arquitectar-lhos;arquitetar-lhos
arquitectar-me;arquitetar-me
arquitectar-me-ei;arquitetar-me-ei
arquitectar-me-ia;arquitetar-me-ia
arquitectarmos;arquitetarmos
arquitectar-nos-íamos;arquitetar-nos-íamos
arquitectar-nos;arquitetar-nos
arquitectar-nos-emos;arquitetar-nos-emos
arquitectarão;arquitetarão
arquitectarás;arquitetarás
arquitectar-se-á;arquitetar-se-á
arquitectar-se;arquitetar-se
arquitectar-se-ia;arquitetar-se-ia
arquitectar-se-iam;arquitetar-se-iam
arquitectar-se-ão;arquitetar-se-ão
arquitectar-te-á;arquitetar-te-á
arquitectar-te;arquitetar-te
arquitectar-te-ei;arquitetar-te-ei
arquitectar-te-ias;arquitetar-te-ias
arquitectar-te-ás;arquitetar-te-ás
arquitectar-vos;arquitetar-vos
arquitectar-vos-íeis;arquitetar-vos-íeis
arquitectar-vos-eis;arquitetar-vos-eis
arquitectas;arquitetas
arquitectasse;arquitetasse
arquitectassem;arquitetassem
arquitectasses;arquitetasses
arquitectaste;arquitetaste
arquitectastes;arquitetastes
arquitectava;arquitetava
arquitectavam;arquitetavam
arquitectavas;arquitetavas
arquitecte;arquitete
arquitectei;arquitetei
arquitecteis;arquiteteis
arquitectem;arquitetem
arquitectemos;arquitetemos
arquitectes;arquitetes
arquitectá-la;arquitetá-la
arquitectá-las;arquitetá-las
arquitectá-lo-íamos;arquitetá-lo-íamos
arquitectá-lo-á;arquitetá-lo-á
arquitectá-lo;arquitetá-lo
arquitectá-lo-ei;arquitetá-lo-ei
arquitectá-lo-íeis;arquitetá-lo-íeis
arquitectá-lo-eis;arquitetá-lo-eis
arquitectá-lo-emos;arquitetá-lo-emos
arquitectá-lo-ia;arquitetá-lo-ia
arquitectá-lo-iam;arquitetá-lo-iam
arquitectá-lo-ias;arquitetá-lo-ias
arquitectá-lo-ão;arquitetá-lo-ão
arquitectá-lo-ás;arquitetá-lo-ás
arquitectá-los;arquitetá-los
arquitectámos;arquitetámos
arquitectónica;arquitetónica
arquitectónicas;arquitetónicas
arquitectónico;arquitetónico
arquitectónicos;arquitetónicos
arquitecto;arquiteto
arquitector;arquitetor
arquitectos;arquitetos
arquitectou;arquitetou
arquitectáramos;arquitetáramos
arquitectáreis;arquitetáreis
arquitectásseis;arquitetásseis
arquitectássemos;arquitetássemos
arquitectura;arquitetura
arquitecturais;arquiteturais
arquitectural;arquitetural
arquitecturas;arquiteturas
arquitectávamos;arquitetávamos
arquitectáveis;arquitetáveis
arroteia;arroteia
arroteias;arroteias
aspecto;aspeto
aspectos;aspetos
aspectuais;aspetuais
aspectual;aspetual
assembleia;assembleia
assembleias;assembleias
assimptota;assintota
assimptotas;assintota
assintacticamente;assintaticamente
assintáctico;assintático
assintácticos;assintáticos
asséptica;asséptico
assépticas;asséptico
asséptico;asséptico
assépticos;asséptico
asteróide;asteroide
asteróides;asteroides
astróide;astroide
astróides;astroides
ateia;ateia
ateias;ateias
atracções;atrações
atracção;atração
atractiva;atrativa
atractivas;atrativas
atractividade;atratividade
atractividades;atratividades
atractivo;atrativo
atractivos;atrativos
atroo;atroo
auto-avaliações;autoavaliações
auto-avaliação;autoavaliação
autocorrector;autocorretor
autocorrectores;autocorretores
autodidacta;autodidata
autodidactas;autodidatas
autodidáctica;autodidática
auto-estima;autoestima
auto-estrada;autoestrada
auto-estradas;autoestradas
auto-rádio;autorrádio
auto-rádios;autorrádios
auto-retrato;autorretrato
auto-retratos;autorretratos
auto-suficiência;autossuficiência
auto-suficiências;autossuficiências
auto-sugestiona;autossugestiona
auto-sugestionada;autossugestionada
auto-sugestionadas;autossugestionadas
auto-sugestionado;autossugestionado
auto-sugestionados;autossugestionados
auto-sugestionai;autossugestionai
auto-sugestionais;autossugestionais
auto-sugestionam;autossugestionam
auto-sugestionamos;autossugestionamos
auto-sugestionando;autossugestionando
auto-sugestionara;autossugestionara
auto-sugestionaram;autossugestionaram
auto-sugestionaríamos;autossugestionaríamos
auto-sugestionaras;autossugestionaras
auto-sugestionará;autossugestionará
auto-sugestionar;autossugestionar
auto-sugestionardes;autossugestionardes
auto-sugestionarei;autossugestionarei
auto-sugestionaríeis;autossugestionaríeis
auto-sugestionareis;autossugestionareis
auto-sugestionarem;autossugestionarem
auto-sugestionaremos;autossugestionaremos
auto-sugestionares;autossugestionares
auto-sugestionaria;autossugestionaria
auto-sugestionariam;autossugestionariam
auto-sugestionarias;autossugestionarias
auto-sugestionar-lha;autossugestionar-lha
auto-sugestionar-lhas;autossugestionar-lhas
auto-sugestionar-lhe;autossugestionar-lhe
auto-sugestionar-lhes;autossugestionar-lhes
auto-sugestionar-lho;autossugestionar-lho
auto-sugestionar-lhos;autossugestionar-lhos
auto-sugestionar-me;autossugestionar-me
auto-sugestionar-me-ei;autossugestionar-me-ei
auto-sugestionar-me-ia;autossugestionar-me-ia
auto-sugestionarmos;autossugestionarmos
auto-sugestionar-nos-íamos;autossugestionar-nos-íamos
auto-sugestionar-nos;autossugestionar-nos
auto-sugestionar-nos-emos;autossugestionar-nos-emos
auto-sugestionarão;autossugestionarão
auto-sugestionarás;autossugestionarás
auto-sugestionar-se-á;autossugestionar-se-á
auto-sugestionar-se;autossugestionar-se
auto-sugestionar-se-ia;autossugestionar-se-ia
auto-sugestionar-se-iam;autossugestionar-se-iam
auto-sugestionar-se-ão;autossugestionar-se-ão
auto-sugestionar-te-á;autossugestionar-te-á
auto-sugestionar-te;autossugestionar-te
auto-sugestionar-te-ei;autossugestionar-te-ei
auto-sugestionar-te-ias;autossugestionar-te-ias
auto-sugestionar-te-ás;autossugestionar-te-ás
auto-sugestionar-vos;autossugestionar-vos
auto-sugestionar-vos-íeis;autossugestionar-vos-íeis
auto-sugestionar-vos-eis;autossugestionar-vos-eis
auto-sugestionas;autossugestionas
auto-sugestionasse;autossugestionasse
auto-sugestionassem;autossugestionassem
auto-sugestionasses;autossugestionasses
auto-sugestionaste;autossugestionaste
auto-sugestionastes;autossugestionastes
auto-sugestionava;autossugestionava
auto-sugestionavam;autossugestionavam
auto-sugestionavas;autossugestionavas
auto-sugestione;autossugestione
auto-sugestionei;autossugestionei
auto-sugestioneis;autossugestioneis
auto-sugestionem;autossugestionem
auto-sugestionemos;autossugestionemos
auto-sugestiones;autossugestiones
auto-sugestionámos;autossugestionámos
auto-sugestiono;autossugestiono
auto-sugestionou;autossugestionou
auto-sugestionáramos;autossugestionáramos
auto-sugestionáreis;autossugestionáreis
